Latitude,Longitude,Value
-90,-180,255.0
-89,-180,252.16666666666666
-88,-180,249.33333333333334
-87,-180,246.5
-86,-180,243.66666666666666
-85,-180,240.83333333333334
-84,-180,238.0
-83,-180,235.16666666666666
-82,-180,232.33333333333334
-81,-180,229.5
-80,-180,226.66666666666666
-79,-180,223.83333333333334
-78,-180,221.0
-77,-180,218.16666666666666
-76,-180,215.33333333333334
-75,-180,212.5
-74,-180,209.66666666666666
-73,-180,206.83333333333334
-72,-180,204.0
-71,-180,201.16666666666666
-70,-180,198.33333333333334
-69,-180,195.5
-68,-180,192.66666666666666
-67,-180,189.83333333333334
-66,-180,187.0
-65,-180,184.16666666666666
-64,-180,181.33333333333334
-63,-180,178.5
-62,-180,175.66666666666666
-61,-180,172.83333333333334
-60,-180,170.0
-59,-180,167.16666666666666
-58,-180,164.33333333333334
-57,-180,161.5
-56,-180,158.66666666666666
-55,-180,155.83333333333334
-54,-180,153.0
-53,-180,150.16666666666666
-52,-180,147.33333333333334
-51,-180,144.5
-50,-180,141.66666666666666
-49,-180,138.83333333333334
-48,-180,136.0
-47,-180,133.16666666666666
-46,-180,130.33333333333334
-45,-180,127.5
-44,-180,124.66666666666667
-43,-180,121.83333333333333
-42,-180,119.0
-41,-180,116.16666666666667
-40,-180,113.33333333333333
-39,-180,110.5
-38,-180,107.66666666666667
-37,-180,104.83333333333333
-36,-180,102.0
-35,-180,99.16666666666667
-34,-180,96.33333333333333
-33,-180,93.5
-32,-180,90.66666666666667
-31,-180,87.83333333333333
-30,-180,85.0
-29,-180,82.16666666666667
-28,-180,79.33333333333333
-27,-180,76.5
-26,-180,73.66666666666667
-25,-180,70.83333333333333
-24,-180,68.0
-23,-180,65.16666666666667
-22,-180,62.333333333333336
-21,-180,59.5
-20,-180,56.666666666666664
-19,-180,53.833333333333336
-18,-180,51.0
-17,-180,48.166666666666664
-16,-180,45.333333333333336
-15,-180,42.5
-14,-180,39.666666666666664
-13,-180,36.833333333333336
-12,-180,34.0
-11,-180,31.166666666666668
-10,-180,28.333333333333332
-9,-180,25.5
-8,-180,22.666666666666668
-7,-180,19.833333333333332
-6,-180,17.0
-5,-180,14.166666666666666
-4,-180,11.333333333333334
-3,-180,8.5
-2,-180,5.666666666666667
-1,-180,2.8333333333333335
0,-180,0.0
1,-180,2.8333333333333335
2,-180,5.666666666666667
3,-180,8.5
4,-180,11.333333333333334
5,-180,14.166666666666666
6,-180,17.0
7,-180,19.833333333333332
8,-180,22.666666666666668
9,-180,25.5
10,-180,28.333333333333332
11,-180,31.166666666666668
12,-180,34.0
13,-180,36.833333333333336
14,-180,39.666666666666664
15,-180,42.5
16,-180,45.333333333333336
17,-180,48.166666666666664
18,-180,51.0
19,-180,53.833333333333336
20,-180,56.666666666666664
21,-180,59.5
22,-180,62.333333333333336
23,-180,65.16666666666667
24,-180,68.0
25,-180,70.83333333333333
26,-180,73.66666666666667
27,-180,76.5
28,-180,79.33333333333333
29,-180,82.16666666666667
30,-180,85.0
31,-180,87.83333333333333
32,-180,90.66666666666667
33,-180,93.5
34,-180,96.33333333333333
35,-180,99.16666666666667
36,-180,102.0
37,-180,104.83333333333333
38,-180,107.66666666666667
39,-180,110.5
40,-180,113.33333333333333
41,-180,116.16666666666667
42,-180,119.0
43,-180,121.83333333333333
44,-180,124.66666666666667
45,-180,127.5
46,-180,130.33333333333334
47,-180,133.16666666666666
48,-180,136.0
49,-180,138.83333333333334
50,-180,141.66666666666666
51,-180,144.5
52,-180,147.33333333333334
53,-180,150.16666666666666
54,-180,153.0
55,-180,155.83333333333334
56,-180,158.66666666666666
57,-180,161.5
58,-180,164.33333333333334
59,-180,167.16666666666666
60,-180,170.0
61,-180,172.83333333333334
62,-180,175.66666666666666
63,-180,178.5
64,-180,181.33333333333334
65,-180,184.16666666666666
66,-180,187.0
67,-180,189.83333333333334
68,-180,192.66666666666666
69,-180,195.5
70,-180,198.33333333333334
71,-180,201.16666666666666
72,-180,204.0
73,-180,206.83333333333334
74,-180,209.66666666666666
75,-180,212.5
76,-180,215.33333333333334
77,-180,218.16666666666666
78,-180,221.0
79,-180,223.83333333333334
80,-180,226.66666666666666
81,-180,229.5
82,-180,232.33333333333334
83,-180,235.16666666666666
84,-180,238.0
85,-180,240.83333333333334
86,-180,243.66666666666666
87,-180,246.5
88,-180,249.33333333333334
89,-180,252.16666666666666
90,-180,255.0
-90,-179,253.58333333333334
-89,-179,250.76574074074074
-88,-179,247.94814814814814
-87,-179,245.13055555555556
-86,-179,242.31296296296296
-85,-179,239.49537037037038
-84,-179,236.67777777777778
-83,-179,233.86018518518517
-82,-179,231.0425925925926
-81,-179,228.225
-80,-179,225.40740740740742
-79,-179,222.58981481481482
-78,-179,219.7722222222222
-77,-179,216.95462962962964
-76,-179,214.13703703703703
-75,-179,211.31944444444446
-74,-179,208.50185185185185
-73,-179,205.68425925925925
-72,-179,202.86666666666667
-71,-179,200.04907407407407
-70,-179,197.2314814814815
-69,-179,194.4138888888889
